task,subject_id,session,condition,accuracy
SM,8068,1.0,1,56.81818181818182
SM,9015,3.0,1,61.36363636363637
SM,8009,2.0,1,73.86363636363636
SM,8018,3.0,1,79.54545454545455
SM,9999,,1,64.77272727272727
SM,8058,2.0,1,85.22727272727273
SM,7176,1.0,1,67.04545454545455
SM,7176,1.0,2,62.5
SM,7186,1.0,1,76.13636363636364
SM,7188,1.0,1,62.5
SM,7197,1.0,1,80.68181818181817
SM,7201,1.0,1,57.95454545454546
SM,7201,1.0,2,50.0
SM,7181,1.0,1,82.95454545454545
SM,7215,1.0,1,73.86363636363636
SM,7055,1.0,1,63.63636363636363
SM,7208,1.0,1,85.22727272727273
SM,7214,1.0,1,77.27272727272727
SM,7219,1.0,1,51.13636363636363
SM,7199,1.0,1,72.72727272727273
SM,7171,1.0,1,87.5
SM,7223,1.0,1,57.95454545454546
SM,7700,1.0,1,75.0
SM,7701,1.0,1,53.40909090909091
SM,7701,1.0,2,75.0
SM,7703,1.0,1,54.54545454545454
SM,7231,1.0,1,78.4090909090909
SM,7238,1.0,1,65.9090909090909
SM,7238,1.0,2,75.0
SM,7233,1.0,1,69.31818181818183
SM,9005,3.0,1,79.54545454545455
SM,8053,2.0,1,77.27272727272727
SM,8040,2.0,1,73.86363636363636
SM,8050,2.0,1,82.95454545454545
SM,8019,3.0,1,72.72727272727273
SM,8009,1.0,1,65.9090909090909
SM,9010,2.0,1,77.27272727272727
SM,9019,2.0,1,84.0909090909091
SM,9017,2.0,1,72.72727272727273
SM,8063,1.0,1,78.4090909090909
SM,8016,3.0,1,60.22727272727273
SM,8014,3.0,1,75.0
SM,9013,3.0,1,89.77272727272727
SM,8048,2.0,1,87.5
SM,8060,2.0,1,89.77272727272727
SM,8070,1.0,1,85.22727272727273
SM,8074,1.0,1,81.81818181818183
SM,8069,1.0,1,76.13636363636364
SM,8075,1.0,1,67.04545454545455
SM,9033,1.0,1,43.18181818181818
SM,9033,1.0,2,37.5
SM,9033,1.0,3,62.5
SM,8039,3.0,1,79.54545454545455
SM,8073,,1,79.54545454545455
SM,8073,,2,100.0
SM,9029,1.0,1,72.72727272727273
SM,7177,1.0,1,68.18181818181817
SM,7192,1.0,1,73.86363636363636
SM,7191,1.0,1,65.9090909090909
SM,7183,1.0,1,37.5
SM,7183,1.0,2,62.5
SM,7190,1.0,1,73.86363636363636
SM,7194,1.0,1,84.0909090909091
SM,7203,1.0,1,76.13636363636364
SM,7206,1.0,1,73.86363636363636
SM,7207,1.0,1,71.5909090909091
SM,7216,1.0,1,70.45454545454545
SM,7212,1.0,1,70.45454545454545
SM,7195,1.0,1,80.68181818181817
SM,7213,1.0,1,78.4090909090909
SM,7225,1.0,1,52.27272727272727
SM,7220,1.0,1,56.81818181818182
SM,7702,1.0,1,65.9090909090909
SM,7222,1.0,1,76.13636363636364
SM,7704,,1,78.4090909090909
SM,7704,,2,87.5
SM,7234,1.0,1,79.54545454545455
SM,7182,1.0,1,65.9090909090909
SM,7182,1.0,2,50.0
SM,7189,1.0,1,61.36363636363637
SM,7173,1.0,1,55.68181818181818
SM,7173,1.0,2,37.5
SM,7187,1.0,1,70.45454545454545
SM,7187,1.0,2,62.5
SM,7196,1.0,1,67.04545454545455
SM,7200,1.0,1,82.95454545454545
SM,7211,1.0,1,67.04545454545455
SM,7211,1.0,2,50.0
SM,7209,1.0,1,75.0
SM,7209,1.0,2,75.0
SM,7204,1.0,1,80.68181818181817
SM,7218,1.0,1,40.909090909090914
SM,7221,1.0,1,56.81818181818182
SM,7202,1.0,1,78.4090909090909
SM,7226,1.0,1,88.63636363636364
SM,7227,1.0,1,82.95454545454545
SM,7205,1.0,1,47.72727272727273
SM,7230,1.0,1,26.136363636363637
SM,7235,1.0,1,72.72727272727273
SM,9023,1.0,1,79.54545454545455
SM,9024,1.0,1,51.13636363636363
SM,9024,1.0,2,50.0
SM,9015,2.0,1,69.31818181818183
SM,8020,3.0,1,45.45454545454545
SM,8061,1.0,1,75.0
SM,8061,1.0,2,62.5
SM,8031,3.0,1,87.5
SM,8017,3.0,1,67.04545454545455
SM,8036,2.0,1,57.95454545454546
SM,8036,2.0,2,25.0
SM,8032,2.0,1,77.27272727272727
SM,8052,2.0,1,80.68181818181817
SM,8022,3.0,1,89.77272727272727
SM,8030,3.0,1,73.86363636363636
SM,9021,2.0,1,61.36363636363637
SM,9021,2.0,2,75.0
SM,8058,1.0,1,81.81818181818183
SM,8012,3.0,1,90.9090909090909
SM,8056,2.0,1,73.86363636363636
SM,9028,1.0,1,77.27272727272727
SM,9034,1.0,1,79.54545454545455
SM,8047,3.0,1,84.0909090909091
SM,8023,3.0,1,62.5
SM,8072,1.0,1,56.81818181818182
SM,8063,2.0,1,82.95454545454545
SM,8076,1.0,1,71.5909090909091
PC,8039,2.0,1,93.54838709677419
PC,8039,2.0,2,96.0
PC,8060,1.0,1,91.66666666666666
PC,8060,1.0,2,95.23809523809523
PC,8047,2.0,1,93.33333333333333
PC,8047,2.0,2,91.30434782608695
PC,8011,3.0,1,87.09677419354838
PC,8011,3.0,2,92.3076923076923
PC,8038,2.0,1,93.93939393939394
PC,8038,2.0,2,82.75862068965517
PC,8046,2.0,1,96.0
PC,8046,2.0,2,91.30434782608695
PC,8023,2.0,1,96.42857142857143
PC,8023,2.0,2,93.33333333333333
PC,8037,2.0,1,85.71428571428571
PC,8037,2.0,2,86.95652173913044
PC,9009,3.0,1,90.32258064516128
PC,9009,3.0,2,70.0
PC,8054,2.0,1,88.0
PC,8054,2.0,2,76.19047619047619
PC,9024,2.0,1,82.6086956521739
PC,9024,2.0,2,76.47058823529412
PC,8051,2.0,1,95.65217391304348
PC,8051,2.0,2,87.5
PC,8035,3.0,1,92.5925925925926
PC,8035,3.0,2,95.23809523809523
