task,subject_id,session,condition,accuracy,mean_rt
AF,7048,1,con,97.22222222222221,597.8611111111111
AF,7048,1,inc,95.83333333333334,598.7083333333334
AF,7049,1,con,98.61111111111111,640.3611111111111
AF,7049,1,inc,100.0,636.5
AF,7050,1,con,98.61111111111111,555.7361111111111
AF,7050,1,inc,98.61111111111111,577.0277777777778
AF,7052,1,con,91.66666666666666,659.8055555555555
AF,7052,1,inc,93.05555555555556,660.3472222222222
AF,7053,1,con,98.61111111111111,511.80555555555554
AF,7053,1,inc,97.22222222222221,540.125
AF,7054,1,con,93.05555555555556,534.0972222222222
AF,7054,1,inc,98.61111111111111,589.5416666666666
AF,7055,1,con,95.83333333333334,730.9305555555555
AF,7055,1,inc,94.44444444444444,756.8194444444445
AF,7056,1,con,81.94444444444444,677.8888888888889
AF,7056,1,inc,72.22222222222221,685.8055555555555
AF,7057,1,con,86.11111111111111,611.0833333333334
AF,7057,1,inc,84.72222222222221,654.4305555555555
AF,7058,1,con,84.72222222222221,422.90277777777777
AF,7058,1,inc,88.88888888888889,506.0416666666667
AF,7059,1,con,97.22222222222221,569.4027777777778
AF,7059,1,inc,98.61111111111111,600.4027777777778
AF,7060,1,con,90.27777777777779,827.3611111111111
AF,7060,1,inc,91.66666666666666,823.2916666666666
AF,7061,1,con,94.44444444444444,621.7777777777778
AF,7061,1,inc,97.22222222222221,647.4583333333334
AF,7062,1,con,100.0,735.9166666666666
AF,7062,1,inc,97.22222222222221,782.0416666666666
AF,7063,1,con,91.66666666666666,556.9861111111111
AF,7063,1,inc,97.22222222222221,588.0694444444445
AF,7064,1,con,90.27777777777779,853.7916666666666
AF,7064,1,inc,91.66666666666666,814.375
AF,7065,1,con,100.0,773.2916666666666
AF,7065,1,inc,100.0,794.0277777777778
AF,7067,1,con,88.88888888888889,582.5555555555555
AF,7067,1,inc,81.94444444444444,617.0416666666666
AF,7068,1,con,98.61111111111111,539.4861111111111
AF,7068,1,inc,100.0,605.4583333333334
AF,7069,1,con,100.0,729.5416666666666
AF,7069,1,inc,95.83333333333334,827.1527777777778
AF,7070,1,con,95.83333333333334,725.6805555555555
AF,7070,1,inc,98.61111111111111,759.1111111111111
