task,subject_id,session,block_1,block_2,block_3,block_4,block_5,distraction,immediate,delay
WL,0,1,8,10,15,15,15,5,12,11
WL,0,33,8,14,14,14,15,0,14,0
DWL,1,1,0,0,0,0,0,0,0,0
WL,1111,1,0,0,0,0,0,0,0,0
WL,1474,1,10,13,15,15,14,8,11,13
WL,7000,1,10,13,12,14,14,4,13,13
WL,7001,1,10,14,14,14,14,6,13,13
WL,7002,1,7,13,13,12,13,7,12,12
WL,7003,1,6,11,14,14,14,3,13,12
WL,7004,1,4,10,11,14,12,5,12,13
WL,7005,1,13,13,14,14,13,14,13,13
WL,7006,1,10,15,15,15,15,10,14,14
WL,7007,1,4,9,10,13,13,4,9,10
WL,7008,1,5,12,15,14,15,5,14,12
WL,7009,1,5,10,13,13,13,7,10,13
WL,7010,1,8,13,13,14,14,4,13,12
WL,7012,1,5,10,13,14,14,5,13,12
WL,7013,1,7,12,14,15,15,9,13,13
WL,7014,1,10,13,14,15,14,3,14,13
WL,7015,1,11,15,15,15,15,9,14,13
WL,7016,1,12,15,15,14,15,10,13,14
WL,7017,1,8,13,14,13,13,4,13,14
WL,7018,1,9,11,12,14,15,5,0,10
WL,7019,1,8,12,14,14,14,5,10,10
WL,7020,1,14,13,15,15,15,9,14,13
WL,7021,1,8,12,12,12,14,8,13,13
WL,7022,1,9,14,15,14,15,7,14,14
WL,7023,1,7,13,14,12,13,7,12,11
WL,7024,1,8,15,15,15,15,7,13,14
WL,7025,1,12,13,14,14,14,14,13,13
WL,7026,1,6,13,11,15,14,7,10,11
WL,7027,1,13,14,14,14,14,12,13,13
WL,7028,1,13,15,15,15,15,7,13,12
WL,7029,1,5,7,12,12,12,3,11,13
WL,7030,1,11,15,15,14,15,9,13,13
WL,7031,1,7,13,9,14,13,5,11,12
WL,7032,1,12,15,15,15,15,12,14,14
WL,7033,1,10,15,15,14,15,5,14,14
WL,7034,1,7,15,15,15,14,5,12,13
WL,7035,1,7,13,15,15,15,8,14,14
WL,7037,1,7,12,13,11,11,5,10,10
WL,7039,1,5,6,9,11,15,6,8,12
WL,7040,1,6,11,13,12,13,5,10,10
WL,7041,1,8,12,14,14,14,6,13,13
WL,7042,1,8,12,15,15,14,2,14,14
WL,7043,1,7,12,14,13,13,7,9,9
WL,7044,1,7,11,15,14,10,5,3,10
WL,7045,1,9,12,15,15,14,3,14,10
WL,7046,1,7,7,13,15,15,6,13,13
WL,7047,1,5,11,13,14,14,6,9,9
WL,7048,1,6,11,10,13,14,6,13,14
WL,7049,1,7,14,13,12,13,7,10,8
WL,7050,1,6,10,14,12,13,5,6,10
WL,7052,1,8,13,13,13,13,5,12,12
WL,7053,1,7,14,14,14,14,6,12,13
WL,7054,1,7,13,15,14,15,5,14,13
WL,7055,1,7,10,11,13,13,6,12,14
WL,7056,1,11,11,9,15,15,3,14,11
WL,7057,1,6,11,12,14,13,6,11,12
WL,7058,1,10,15,15,15,15,8,14,12
WL,7059,1,11,15,14,15,15,7,14,14
WL,7060,1,0,11,14,14,14,8,4,0
WL,7061,1,12,15,15,15,15,12,14,14
WL,7062,1,6,12,12,13,11,6,10,11
WL,7063,1,4,9,14,15,15,8,12,13
WL,7064,1,5,8,12,9,11,4,0,7
WL,7065,1,4,7,12,13,9,6,0,9
WL,7067,1,7,12,14,14,14,7,14,14
WL,7068,1,10,14,15,15,13,10,14,14
WL,7069,1,11,13,13,14,14,6,13,14
WL,7070,1,5,12,15,13,12,4,13,13
WL,7072,1,9,14,14,15,15,6,12,14
WL,7073,1,4,12,13,7,13,1,11,11
WL,7075,1,10,14,14,14,9,2,4,10
WL,7076,1,5,12,15,13,15,9,6,7
WL,7077,1,5,10,14,15,14,8,9,13
WL,7078,1,8,12,13,14,13,6,12,14
WL,7079,1,6,13,14,15,14,0,13,9
WL,7080,1,9,12,15,14,15,5,14,14
WL,7082,1,8,8,11,12,14,5,13,12
WL,7083,1,10,14,14,14,14,10,12,13
WL,7084,1,10,14,14,15,14,8,13,13
WL,7085,1,4,7,11,9,10,4,4,12
WL,7086,1,11,14,15,14,15,8,14,14
WL,7087,1,6,11,14,15,14,6,11,13
WL,7088,1,6,9,11,9,12,6,7,8
WL,7089,1,12,15,14,15,15,12,14,14
WL,7090,1,6,10,14,14,15,6,12,12
WL,7091,1,9,10,14,15,13,8,9,9
WL,7092,1,8,13,14,13,13,5,8,11
WL,7093,1,11,13,15,15,14,11,11,14
WL,7094,1,7,13,15,15,15,5,14,14
WL,7096,1,5,11,14,15,14,4,11,11
WL,7097,1,9,13,12,12,14,9,10,12
WL,7098,1,9,15,14,15,15,6,14,14
WL,7099,1,8,13,13,13,12,5,8,0
WL,7102,1,5,9,12,12,11,4,0,10
WL,7103,1,8,12,7,13,13,5,12,13
WL,7104,1,7,14,14,15,15,7,12,14
WL,7105,1,13,14,15,15,15,12,14,14
WL,7106,1,5,12,14,13,14,5,12,12
WL,7107,1,7,11,12,13,14,6,10,10
WL,7108,1,6,12,14,14,15,8,14,14
WL,7109,1,11,13,14,14,15,4,10,13
WL,7110,1,5,7,7,6,8,2,3,4
WL,7111,1,9,15,14,14,14,6,6,13
WL,7112,1,4,6,5,8,6,3,3,3
WL,7113,1,5,13,14,15,14,7,12,12
WL,7114,1,5,10,11,13,13,5,11,12
WL,7115,1,11,15,15,15,15,13,14,14
