task,subject_id,session,condition,count_correct,mean_rt,accuracy
FN,7198,1,2,7,1774.2222222222222,77.77777777777779
FN,7199,1,1,72,1895.1604938271605,88.88888888888889
FN,7200,1,1,72,1255.962962962963,88.88888888888889
FN,7201,1,1,62,1914.0493827160494,76.5432098765432
FN,7201,1,2,7,2187.222222222222,77.77777777777779
FN,7202,1,1,73,1267.0987654320988,90.12345679012346
FN,7203,1,1,68,1324.2592592592594,83.9506172839506
FN,7204,1,1,65,1267.9876543209878,80.24691358024691
FN,7205,1,1,64,1541.7654320987654,79.01234567901234
FN,7205,1,2,5,1789.0,55.55555555555556
FN,7206,1,1,65,1649.148148148148,80.24691358024691
FN,7206,1,2,9,1426.0,100.0
FN,7207,1,1,71,1141.2962962962963,87.65432098765432
FN,7208,1,1,62,1591.8641975308642,76.5432098765432
FN,7208,1,2,9,1372.3333333333333,100.0
FN,7209,1,1,67,1143.8148148148148,82.71604938271605
FN,7211,1,1,68,1498.8765432098764,83.9506172839506
FN,7212,1,1,66,1764.2592592592594,81.48148148148148
FN,7212,1,2,8,1842.4444444444443,88.88888888888889
FN,7213,1,1,72,1363.6172839506173,88.88888888888889
FN,7214,1,1,71,1663.0493827160494,87.65432098765432
FN,7215,1,1,73,1635.4074074074074,90.12345679012346
FN,7216,1,1,68,1700.2592592592594,83.9506172839506
FN,7216,1,2,8,1483.4444444444443,88.88888888888889
FN,7218,1,1,67,1433.5061728395062,82.71604938271605
FN,7219,1,1,66,1496.530864197531,81.48148148148148
FN,7220,1,1,64,1560.358024691358,79.01234567901234
FN,7220,1,2,9,1952.888888888889,100.0
FN,7221,1,1,77,1380.6172839506173,95.06172839506173
FN,7222,1,1,67,1532.567901234568,82.71604938271605
FN,7222,1,2,6,1440.3333333333333,66.66666666666666
FN,7222,1,3,8,1537.888888888889,88.88888888888889
FN,7223,1,1,67,1684.7037037037037,82.71604938271605
FN,7225,1,1,70,1320.1851851851852,86.41975308641975
FN,7225,1,2,8,1357.0,88.88888888888889
FN,7226,1,1,75,1384.851851851852,92.5925925925926
FN,7227,1,1,72,1909.20987654321,88.88888888888889
FN,7229,1,1,72,2093.395061728395,88.88888888888889
FN,7230,1,1,69,1494.2469135802469,85.18518518518519
FN,7230,1,2,4,1963.5555555555557,44.44444444444444
FN,7231,1,1,67,1715.6666666666667,82.71604938271605
FN,7231,1,2,8,1390.4444444444443,88.88888888888889
FN,7232,1,1,74,1367.0987654320988,91.35802469135803
FN,7233,1,1,69,2149.814814814815,85.18518518518519
FN,7233,1,2,8,1830.3333333333333,88.88888888888889
FN,7234,1,1,74,1594.8148148148148,91.35802469135803
FN,7235,1,1,69,1111.5555555555557,85.18518518518519
FN,7237,1,1,73,1055.641975308642,90.12345679012346
FN,7237,1,2,5,1818.0,55.55555555555556
FN,7237,1,3,9,815.4444444444445,100.0
FN,7238,1,1,70,1504.9753086419753,86.41975308641975
FN,7239,1,1,73,1437.679012345679,90.12345679012346
FN,7240,nan,1,70,1360.0246913580247,86.41975308641975
FN,7241,1,1,66,1672.7654320987654,81.48148148148148
FN,7242,1,1,64,1272.4567901234568,79.01234567901234
FN,7242,1,2,6,1619.0,66.66666666666666
FN,7242,1,3,9,1261.111111111111,100.0
FN,7243,1,1,67,1168.358024691358,82.71604938271605
FN,7243,1,2,5,1596.888888888889,55.55555555555556
FN,7246,nan,1,67,1526.4938271604938,82.71604938271605
FN,7246,nan,2,6,1952.6666666666667,66.66666666666666
FN,7248,1,1,65,1528.1358024691358,80.24691358024691
FN,7248,1,2,6,1551.2222222222222,66.66666666666666
FN,7248,1,3,7,1326.4444444444443,77.77777777777779
FN,7248,1,4,6,1648.7777777777778,66.66666666666666
FN,7248,1,5,8,1246.3333333333333,88.88888888888889
FN,7249,1,1,68,1372.0864197530864,83.9506172839506
FN,7249,1,2,7,1730.4444444444443,77.77777777777779
