task,subject_id,session,condition,accuracy
NF,8035,2,con,95.83333333333334
NF,8035,2,inc,95.83333333333334
NF,8051,1,inc,93.05555555555556
NF,8051,1,con,97.22222222222221
NF,9021,1,con,79.16666666666666
NF,9021,1,inc,88.88888888888889
NF,9005,3,con,93.05555555555556
NF,9005,3,inc,97.22222222222221
NF,8053,2,inc,100.0
NF,8053,2,con,97.22222222222221
NF,8040,2,con,100.0
NF,8040,2,inc,98.61111111111111
NF,8050,2,inc,97.22222222222221
NF,8050,2,con,98.61111111111111
NF,8019,3,inc,100.0
NF,8019,3,con,95.83333333333334
NF,8009,1,con,94.44444444444444
NF,8009,1,inc,97.22222222222221
NF,9010,2,con,98.61111111111111
NF,9010,2,inc,100.0
NF,9019,2,inc,95.83333333333334
NF,9019,2,con,100.0
NF,9017,2,inc,98.61111111111111
NF,9017,2,con,91.66666666666666
NF,8063,1,con,98.61111111111111
NF,8063,1,inc,100.0
NF,8016,3,inc,100.0
NF,8016,3,con,98.61111111111111
NF,8014,3,con,98.61111111111111
NF,8014,3,inc,100.0
NF,9013,3,con,100.0
NF,9013,3,inc,100.0
NF,8048,2,inc,95.83333333333334
NF,8048,2,con,95.83333333333334
NF,8060,2,con,95.83333333333334
NF,8060,2,inc,95.83333333333334
NF,7155,1,con,97.22222222222221
NF,7155,1,inc,98.61111111111111
NF,7158,1,con,94.44444444444444
NF,7158,1,inc,93.05555555555556
NF,7159,1,inc,98.61111111111111
NF,7159,1,con,98.61111111111111
NF,7166,1,inc,100.0
NF,7166,1,con,98.61111111111111
NF,7170,1,inc,100.0
NF,7170,1,con,97.22222222222221
NF,7175,1,con,98.61111111111111
NF,7175,1,inc,98.61111111111111
NF,7176,1,inc,95.83333333333334
NF,7176,1,con,97.22222222222221
NF,7186,1,con,54.166666666666664
NF,7186,1,inc,50.0
NF,7188,1,con,97.22222222222221
NF,7188,1,inc,97.22222222222221
NF,7197,1,inc,97.22222222222221
NF,7197,1,con,97.22222222222221
NF,7200,1,inc,98.61111111111111
NF,7200,1,con,97.22222222222221
NF,7181,1,inc,98.61111111111111
NF,7181,1,con,100.0
NF,7215,1,con,87.5
NF,7215,1,inc,94.44444444444444
NF,7055,1,inc,100.0
NF,7055,1,con,90.27777777777779
NF,7208,1,inc,98.61111111111111
NF,7208,1,con,97.22222222222221
NF,7214,1,con,98.61111111111111
NF,7214,1,inc,97.22222222222221
NF,7219,1,con,93.75
NF,7219,1,inc,87.5
NF,7199,1,con,98.61111111111111
NF,7199,1,inc,97.22222222222221
NF,7171,1,con,98.61111111111111
NF,7171,1,inc,100.0
NF,7223,1,inc,95.83333333333334
NF,7223,1,con,97.22222222222221
NF,7700,1,inc,95.83333333333334
NF,7700,1,con,98.61111111111111
NF,7150,1,inc,76.13636363636364
NF,7150,1,con,95.45454545454545
NF,7156,1,con,97.22222222222221
NF,7156,1,inc,98.61111111111111
NF,7165,1,con,100.0
NF,7165,1,inc,100.0
NF,7164,1,con,100.0
NF,7164,1,inc,98.61111111111111
NF,7172,1,inc,97.22222222222221
NF,7172,1,con,97.22222222222221
NF,7147,1,inc,100.0
NF,7147,1,con,100.0
NF,7174,1,con,83.33333333333334
NF,7174,1,inc,94.44444444444444
NF,7180,1,inc,98.61111111111111
NF,7180,1,con,98.61111111111111
NF,7177,1,con,94.44444444444444
NF,7177,1,inc,94.44444444444444
NF,7192,1,con,97.22222222222221
NF,7192,1,inc,100.0
NF,7191,1,con,92.5
NF,7191,1,inc,95.0
NF,7183,1,con,91.66666666666666
NF,7183,1,inc,94.44444444444444
NF,7190,1,inc,93.05555555555556
NF,7190,1,con,95.83333333333334
NF,7194,1,con,95.83333333333334
NF,7194,1,inc,98.61111111111111
NF,7203,1,inc,98.61111111111111
NF,7203,1,con,98.61111111111111
NF,7206,1,con,97.22222222222221
NF,7206,1,inc,98.61111111111111
NF,7207,1,con,83.33333333333334
NF,7207,1,inc,76.38888888888889
NF,7216,1,inc,90.27777777777779
NF,7216,1,con,97.22222222222221
NF,7212,1,inc,95.83333333333334
NF,7212,1,con,100.0
NF,7195,1,inc,94.44444444444444
NF,7195,1,con,95.83333333333334
NF,7213,1,inc,95.83333333333334
NF,7213,1,con,97.22222222222221
NF,7152,1,inc,100.0
NF,7152,1,con,95.83333333333334
NF,7155,1,con,93.05555555555556
NF,7155,1,inc,98.61111111111111
NF,7160,1,con,98.61111111111111
NF,7160,1,inc,100.0
NF,1111,1,inc,95.83333333333334
NF,1111,1,con,95.83333333333334
NF,7161,1,inc,94.44444444444444
